                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0014,                0.49268,                0.86476,                0.70229,                0.66459,                0.63288,                 0.3602,                 1.3317,                 1.2536,                 1.0279,              0.0071092,              0.0071092,              0.0071092
                     75,                0.98897,                0.49242,                0.86575,                0.72494,                0.67039,                0.65433,                0.37029,                 1.3437,                  1.228,                 1.0303,              0.0070696,              0.0070696,              0.0070696
                     76,                0.99275,                0.49111,                 0.8656,                0.69501,                0.67561,                0.63938,                 0.3567,                  1.319,                 1.2608,                 1.0209,                0.00703,                0.00703,                0.00703
                     77,                0.98445,                0.48936,                0.86372,                0.69906,                0.68591,                0.63892,                0.36023,                  1.327,                 1.2782,                 1.0314,              0.0069904,              0.0069904,              0.0069904
                     78,                0.98168,                0.48605,                0.86805,                0.68573,                0.66316,                0.62221,                0.36212,                 1.3338,                 1.2694,                 1.0364,              0.0069508,              0.0069508,              0.0069508
                     79,                0.97719,                0.48629,                 0.8655,                0.66631,                0.67878,                0.63733,                0.35819,                 1.3398,                 1.2403,                 1.0328,              0.0069112,              0.0069112,              0.0069112
                     80,                0.98038,                0.48586,                0.86463,                0.71475,                0.67921,                0.63901,                0.35945,                 1.3303,                 1.2425,                 1.0363,              0.0068716,              0.0068716,              0.0068716
                     81,                0.96516,                0.48235,                0.86165,                 0.7267,                0.66619,                0.64039,                0.36294,                 1.3326,                 1.2349,                 1.0381,               0.006832,               0.006832,               0.006832
                     82,                0.96446,                0.47821,                0.85927,                 0.7293,                0.67313,                0.64641,                 0.3701,                 1.3264,                 1.2681,                 1.0334,              0.0067924,              0.0067924,              0.0067924
                     83,                0.96159,                 0.4776,                0.85949,                0.67274,                0.67364,                 0.6368,                0.35851,                 1.3315,                  1.213,                 1.0402,              0.0067528,              0.0067528,              0.0067528
                     84,                0.95449,                0.47445,                0.86035,                0.69207,                0.68294,                0.63512,                0.35683,                 1.3317,                 1.2609,                 1.0323,              0.0067132,              0.0067132,              0.0067132
                     85,                0.96045,                0.47479,                0.86184,                0.70361,                0.67737,                0.63813,                0.36527,                 1.3356,                 1.2706,                 1.0336,              0.0066736,              0.0066736,              0.0066736
                     86,                0.94845,                0.47265,                0.85735,                0.70788,                0.67361,                0.64067,                0.36406,                 1.3316,                 1.3121,                 1.0369,               0.006634,               0.006634,               0.006634
                     87,                0.94529,                0.46792,                0.85707,                0.68588,                0.67479,                0.63048,                0.36751,                 1.3251,                 1.2751,                 1.0302,              0.0065944,              0.0065944,              0.0065944
                     88,                 0.9371,                0.46446,                0.85527,                0.69822,                0.67049,                0.63014,                0.36355,                 1.3165,                 1.2467,                 1.0337,              0.0065548,              0.0065548,              0.0065548
                     89,                0.94258,                0.46727,                0.85563,                0.72501,                 0.6641,                0.64487,                0.36409,                 1.3285,                 1.2974,                  1.039,              0.0065152,              0.0065152,              0.0065152
                     90,                0.93348,                0.46561,                0.85488,                0.69043,                0.69588,                0.63788,                0.36306,                 1.3312,                 1.2406,                 1.0377,              0.0064756,              0.0064756,              0.0064756
                     91,                0.93005,                0.46341,                0.85425,                0.69749,                0.70439,                0.65695,                0.36268,                 1.3289,                 1.2194,                 1.0309,               0.006436,               0.006436,               0.006436
                     92,                 0.9243,                0.46087,                0.85582,                0.71467,                0.66802,                0.63457,                0.36252,                 1.3299,                 1.2812,                  1.039,              0.0063964,              0.0063964,              0.0063964
                     93,                0.91586,                0.45806,                0.85231,                0.71227,                0.66771,                0.63633,                0.36252,                 1.3272,                 1.2909,                  1.042,              0.0063568,              0.0063568,              0.0063568
                     94,                0.90574,                0.45349,                0.85108,                0.70621,                0.70658,                 0.6599,                0.36849,                 1.3138,                 1.2909,                 1.0346,              0.0063172,              0.0063172,              0.0063172
                     95,                0.91425,                 0.4578,                 0.8505,                0.70959,                0.68356,                0.63834,                0.35863,                 1.3375,                 1.2434,                 1.0409,              0.0062776,              0.0062776,              0.0062776
                     96,                0.91006,                0.45511,                0.85064,                 0.6958,                 0.6856,                0.64719,                0.36249,                 1.3386,                 1.2482,                 1.0411,               0.006238,               0.006238,               0.006238
                     97,                0.90892,                0.45331,                0.85467,                0.71168,                0.66968,                0.63821,                0.36128,                 1.3348,                 1.2576,                 1.0389,              0.0061984,              0.0061984,              0.0061984
                     98,                 0.8942,                0.44772,                0.84972,                0.69721,                0.67416,                0.63933,                0.36905,                 1.3313,                 1.2511,                 1.0459,              0.0061588,              0.0061588,              0.0061588
                     99,                0.90057,                0.44896,                0.85026,                0.69015,                0.68237,                0.63862,                0.36214,                 1.3371,                  1.267,                 1.0432,              0.0061192,              0.0061192,              0.0061192
                    100,                0.88696,                0.44561,                0.84945,                0.66856,                0.68033,                0.63653,                0.35911,                 1.3365,                 1.2761,                 1.0325,              0.0060796,              0.0060796,              0.0060796
                    101,                0.88243,                0.44445,                0.84573,                0.73518,                0.66611,                 0.6464,                0.36194,                 1.3313,                 1.2971,                 1.0372,                0.00604,                0.00604,                0.00604
                    102,                0.87948,                 0.4423,                0.84774,                0.70324,                 0.6625,                0.62187,                  0.359,                 1.3339,                 1.2742,                 1.0493,              0.0060004,              0.0060004,              0.0060004
                    103,                0.88348,                0.44172,                0.84517,                0.71237,                0.67562,                 0.6433,                0.36085,                  1.326,                 1.3167,                 1.0382,              0.0059608,              0.0059608,              0.0059608
                    104,                0.86547,                0.43572,                0.84577,                 0.7069,                0.66313,                0.63539,                0.35934,                 1.3282,                 1.3055,                 1.0411,              0.0059212,              0.0059212,              0.0059212
                    105,                0.86549,                0.43552,                0.84654,                0.67444,                0.67162,                0.63074,                0.36089,                 1.3296,                  1.311,                 1.0441,              0.0058816,              0.0058816,              0.0058816
                    106,                0.86496,                0.43585,                0.84276,                0.70318,                0.68855,                0.63904,                0.36429,                 1.3204,                 1.2816,                  1.041,               0.005842,               0.005842,               0.005842
                    107,                0.86698,                0.43605,                0.84359,                0.69782,                0.67564,                0.63288,                0.36163,                 1.3255,                 1.2736,                 1.0357,              0.0058024,              0.0058024,              0.0058024
                    108,                0.86382,                0.43341,                0.84448,                0.71155,                0.67532,                0.63065,                0.36365,                 1.3249,                 1.3245,                 1.0458,              0.0057628,              0.0057628,              0.0057628
                    109,                0.85888,                0.43375,                0.84212,                0.73243,                0.66014,                0.64187,                0.36088,                 1.3216,                 1.3093,                 1.0431,              0.0057232,              0.0057232,              0.0057232
